STO sub Energy,STO sub Absorption,Stoichiometric STO Energy,Stoichiometric STO Absorption,Off stoichiometric STO Energy,Off stoichiometric STO Absorption
0.482678085,25.1446,0.482678085,25.306,0.482678085,82.8602
0.482772046,25.1756,0.482772046,25.3195,0.482772046,82.8615
0.482866044,25.1897,0.482866044,25.3425,0.482866044,82.8676
0.482960078,25.2192,0.482960078,25.3643,0.482960078,82.869
0.483054149,25.2515,0.483054149,25.3812,0.483054149,82.8747
0.483148256,25.2825,0.483148256,25.418,0.483148256,82.8871
0.483242401,25.2814,0.483242401,25.4325,0.483242401,82.8953
0.483336582,25.268,0.483336582,25.4598,0.483336582,82.908
0.483430799,25.2273,0.483430799,25.4784,0.483430799,82.9033
0.483525054,25.1796,0.483525054,25.511,0.483525054,82.8995
0.483619345,25.1236,0.483619345,25.533,0.483619345,82.864
0.483713673,25.068,0.483713673,25.5687,0.483713673,82.8169
0.483808037,25.0089,0.483808037,25.6093,0.483808037,82.7683
0.483902439,24.9723,0.483902439,25.6267,0.483902439,82.7088
0.483996877,24.9387,0.483996877,25.6271,0.483996877,82.656
0.484091353,24.938,0.484091353,25.6203,0.484091353,82.6058
0.484185865,24.9347,0.484185865,25.6139,0.484185865,82.5493
0.484280414,24.9447,0.484280414,25.5947,0.484280414,82.5123
0.484375,24.9627,0.484375,25.5754,0.484375,82.4774
0.484469623,25.0254,0.484469623,25.5747,0.484469623,82.4634
0.484564283,25.0909,0.484564283,25.57,0.484564283,82.4478
0.48465898,25.1335,0.48465898,25.5566,0.48465898,82.4372
0.484753714,25.2128,0.484753714,25.548,0.484753714,82.4499
0.484848485,25.2712,0.484848485,25.5343,0.484848485,82.4739
0.484943293,25.3152,0.484943293,25.5358,0.484943293,82.4913
0.485038138,25.3296,0.485038138,25.5034,0.485038138,82.5396
0.48513302,25.3344,0.48513302,25.4827,0.48513302,82.5621
0.48522794,25.3246,0.48522794,25.4515,0.48522794,82.5931
0.485322896,25.3264,0.485322896,25.433,0.485322896,82.628
0.48541789,25.317,0.48541789,25.4266,0.48541789,82.656
0.485512921,25.2716,0.485512921,25.3937,0.485512921,82.6704
0.485607989,25.2622,0.485607989,25.3683,0.485607989,82.6682
0.485703094,25.2382,0.485703094,25.3444,0.485703094,82.671
0.485798237,25.2256,0.485798237,25.3275,0.485798237,82.6524
0.485893417,25.1981,0.485893417,25.3165,0.485893417,82.6471
0.485988634,25.1694,0.485988634,25.3151,0.485988634,82.6171
0.486083889,25.1638,0.486083889,25.3311,0.486083889,82.5942
0.486179181,25.1618,0.486179181,25.3377,0.486179181,82.5755
0.48627451,25.1524,0.48627451,25.356,0.48627451,82.5408
0.486369876,25.1631,0.486369876,25.385,0.486369876,82.535
0.486465281,25.186,0.486465281,25.4441,0.486465281,82.5015
0.486560722,25.1873,0.486560722,25.4862,0.486560722,82.4759
0.486656201,25.2038,0.486656201,25.5197,0.486656201,82.4676
0.486751717,25.1939,0.486751717,25.5477,0.486751717,82.4426
0.486847271,25.1955,0.486847271,25.5852,0.486847271,82.4253
0.486942863,25.1902,0.486942863,25.6149,0.486942863,82.4203
0.487038492,25.1847,0.487038492,25.6184,0.487038492,82.4112
0.487134158,25.183,0.487134158,25.6249,0.487134158,82.4009
0.487229862,25.17,0.487229862,25.6232,0.487229862,82.3893
0.487325604,25.1619,0.487325604,25.616,0.487325604,82.3842
0.487421384,25.1658,0.487421384,25.6153,0.487421384,82.3919
0.487517201,25.1774,0.487517201,25.6153,0.487517201,82.3699
0.487613055,25.1595,0.487613055,25.6172,0.487613055,82.3551
0.487708948,25.167,0.487708948,25.6087,0.487708948,82.3451
0.487804878,25.1833,0.487804878,25.6139,0.487804878,82.3279
0.487900846,25.1836,0.487900846,25.598,0.487900846,82.3138
0.487996852,25.1802,0.487996852,25.5781,0.487996852,82.3028
0.488092895,25.1812,0.488092895,25.5506,0.488092895,82.3054
0.488188976,25.1971,0.488188976,25.5418,0.488188976,82.3128
0.488285095,25.1967,0.488285095,25.5138,0.488285095,82.3029
0.488381252,25.1924,0.488381252,25.4947,0.488381252,82.308
0.488477447,25.2057,0.488477447,25.4787,0.488477447,82.3183
0.48857368,25.2244,0.48857368,25.4521,0.48857368,82.3308
0.488669951,25.2032,0.488669951,25.436,0.488669951,82.3207
0.488766259,25.1912,0.488766259,25.4169,0.488766259,82.3143
0.488862606,25.175,0.488862606,25.3889,0.488862606,82.3207
0.488958991,25.1609,0.488958991,25.3623,0.488958991,82.3144
0.489055413,25.1274,0.489055413,25.3591,0.489055413,82.3016
0.489151874,25.1138,0.489151874,25.3584,0.489151874,82.2831
0.489248372,25.1023,0.489248372,25.3643,0.489248372,82.2685
0.489344909,25.0935,0.489344909,25.367,0.489344909,82.2544
0.489441484,25.0949,0.489441484,25.3841,0.489441484,82.2305
0.489538097,25.1037,0.489538097,25.4007,0.489538097,82.2169
0.489634748,25.1021,0.489634748,25.4234,0.489634748,82.1965
0.489731438,25.0952,0.489731438,25.4455,0.489731438,82.1809
0.489828165,25.0946,0.489828165,25.459,0.489828165,82.1582
0.489924931,25.1127,0.489924931,25.4936,0.489924931,82.1436
0.490021735,25.1165,0.490021735,25.52,0.490021735,82.1177
0.490118577,25.1135,0.490118577,25.5498,0.490118577,82.1061
0.490215458,25.1173,0.490215458,25.5711,0.490215458,82.1031
0.490312376,25.1398,0.490312376,25.59,0.490312376,82.0883
0.490409334,25.1491,0.490409334,25.6188,0.490409334,82.0724
0.490506329,25.1532,0.490506329,25.6288,0.490506329,82.0705
0.490603363,25.156,0.490603363,25.6288,0.490603363,82.0647
0.490700435,25.1643,0.490700435,25.6313,0.490700435,82.0574
0.490797546,25.1804,0.490797546,25.6498,0.490797546,82.0564
0.490894695,25.178,0.490894695,25.6502,0.490894695,82.0529
0.490991883,25.1715,0.490991883,25.6485,0.490991883,82.0527
0.491089109,25.1681,0.491089109,25.6381,0.491089109,82.0512
0.491186374,25.1622,0.491186374,25.6338,0.491186374,82.041
0.491283677,25.1642,0.491283677,25.6187,0.491283677,82.0348
0.491381018,25.1558,0.491381018,25.5938,0.491381018,82.027
0.491478399,25.1496,0.491478399,25.5633,0.491478399,82.011
0.491575818,25.1612,0.491575818,25.5488,0.491575818,82.0027
0.491673275,25.1729,0.491673275,25.5323,0.491673275,81.9954
0.491770771,25.1646,0.491770771,25.5191,0.491770771,81.9904
0.491868306,25.1603,0.491868306,25.5132,0.491868306,81.9898
0.49196588,25.1676,0.49196588,25.5057,0.49196588,81.9776
0.492063492,25.1671,0.492063492,25.5069,0.492063492,81.9768
0.492161143,25.1625,0.492161143,25.5039,0.492161143,81.9657
0.492258833,25.1568,0.492258833,25.4937,0.492258833,81.9601
0.492356561,25.1555,0.492356561,25.4971,0.492356561,81.9556
0.492454329,25.1635,0.492454329,25.5059,0.492454329,81.9499
0.492552135,25.1602,0.492552135,25.501,0.492552135,81.9346
0.49264998,25.1655,0.49264998,25.4999,0.49264998,81.9264
0.492747864,25.1597,0.492747864,25.5054,0.492747864,81.9085
0.492845787,25.1521,0.492845787,25.5154,0.492845787,81.8887
0.492943749,25.1525,0.492943749,25.5188,0.492943749,81.8821
0.49304175,25.1463,0.49304175,25.5227,0.49304175,81.871
0.493139789,25.1405,0.493139789,25.5286,0.493139789,81.8554
0.493237868,25.1486,0.493237868,25.539,0.493237868,81.8382
0.493335986,25.1538,0.493335986,25.5563,0.493335986,81.8244
0.493434142,25.166,0.493434142,25.555,0.493434142,81.8166
0.493532338,25.1639,0.493532338,25.5559,0.493532338,81.8046
0.493630573,25.1732,0.493630573,25.5495,0.493630573,81.7975
0.493728847,25.1824,0.493728847,25.558,0.493728847,81.7872
0.49382716,25.1814,0.49382716,25.5562,0.49382716,81.7788
0.493925513,25.182,0.493925513,25.5634,0.493925513,81.7809
0.494023904,25.1718,0.494023904,25.5471,0.494023904,81.7761
0.494122335,25.1736,0.494122335,25.5446,0.494122335,81.7627
0.494220805,25.1711,0.494220805,25.5328,0.494220805,81.7588
0.494319314,25.1719,0.494319314,25.5268,0.494319314,81.7532
0.494417863,25.1687,0.494417863,25.5284,0.494417863,81.7472
0.494516451,25.165,0.494516451,25.5174,0.494516451,81.7332
0.494615078,25.1692,0.494615078,25.5055,0.494615078,81.7243
0.494713744,25.1714,0.494713744,25.4979,0.494713744,81.7146
0.49481245,25.1633,0.49481245,25.4875,0.49481245,81.7005
0.494911195,25.164,0.494911195,25.4879,0.494911195,81.6803
0.49500998,25.1568,0.49500998,25.4694,0.49500998,81.6666
0.495108804,25.1617,0.495108804,25.4734,0.495108804,81.6618
0.495207668,25.1648,0.495207668,25.4713,0.495207668,81.6502
0.495306571,25.1548,0.495306571,25.4667,0.495306571,81.6371
0.495405513,25.15,0.495405513,25.4766,0.495405513,81.6269
0.495504496,25.1492,0.495504496,25.4867,0.495504496,81.6232
0.495603517,25.1458,0.495603517,25.4926,0.495603517,81.6107
0.495702578,25.1535,0.495702578,25.5057,0.495702578,81.5977
0.495801679,25.1636,0.495801679,25.51,0.495801679,81.5861
0.49590082,25.1773,0.49590082,25.5277,0.49590082,81.5724
0.496,25.1908,0.496,25.542,0.496,81.5684
0.49609922,25.1889,0.49609922,25.5524,0.49609922,81.553
0.496198479,25.1962,0.496198479,25.5487,0.496198479,81.5411
0.496297779,25.1928,0.496297779,25.5415,0.496297779,81.5408
0.496397118,25.1832,0.496397118,25.544,0.496397118,81.5386
0.496496496,25.1756,0.496496496,25.5471,0.496496496,81.5349
0.496595915,25.176,0.496595915,25.5518,0.496595915,81.5286
0.496695374,25.1685,0.496695374,25.547,0.496695374,81.5178
0.496794872,25.164,0.496794872,25.5477,0.496794872,81.5095
0.49689441,25.1636,0.49689441,25.5401,0.49689441,81.4988
0.496993988,25.1585,0.496993988,25.5346,0.496993988,81.4851
0.497093606,25.1652,0.497093606,25.5281,0.497093606,81.4733
0.497193264,25.1569,0.497193264,25.5165,0.497193264,81.4613
0.497292962,25.1611,0.497292962,25.5131,0.497292962,81.4489
0.4973927,25.1665,0.4973927,25.5053,0.4973927,81.4352
0.497492477,25.1673,0.497492477,25.505,0.497492477,81.4237
0.497592295,25.1718,0.497592295,25.5177,0.497592295,81.4136
