Stoichiometroic Energy,Stoichiometroic Int,Off stoichiometroic Energy,Off stoichiometroic Int
6.44,4,6.44,3
6.45,4,6.45,6
6.46,5,6.46,3
6.47,2,6.47,2
6.48,0,6.48,3
6.49,2,6.49,3
6.5,6,6.5,0
6.51,1,6.51,3
6.52,2,6.52,1
6.53,0,6.53,0
6.54,2,6.54,2
6.55,2,6.55,0
6.56,3,6.56,1
6.57,2,6.57,1
6.58,0,6.58,2
6.59,2,6.59,1
6.6,1,6.6,4
6.61,2,6.61,3
6.62,3,6.62,2
6.63,2,6.63,1
6.64,2,6.64,1
6.65,2,6.65,2
6.66,1,6.66,2
6.67,1,6.67,2
6.68,1,6.68,1
6.69,2,6.69,3
6.7,2,6.7,2
6.71,1,6.71,3
6.72,0,6.72,1
6.73,4,6.73,3
6.74,5,6.74,2
6.75,1,6.75,6
6.76,1,6.76,1
6.77,5,6.77,1
6.78,3,6.78,1
6.79,3,6.79,3
6.8,2,6.8,1
6.81,4,6.81,3
6.82,4,6.82,4
6.83,3,6.83,2
6.84,2,6.84,1
6.85,2,6.85,4
6.86,2,6.86,4
6.87,6,6.87,3
6.88,4,6.88,4
6.89,4,6.89,5
6.9,4,6.9,6
6.91,7,6.91,7
6.92,5,6.92,3
6.93,7,6.93,2
6.94,4,6.94,4
6.95,5,6.95,4
6.96,5,6.96,5
6.97,3,6.97,3
6.98,6,6.98,5
6.99,5,6.99,2
7,3,7,1
7.01,2,7.01,0
7.02,4,7.02,3
7.03,2,7.03,1
7.04,0,7.04,2
7.05,4,7.05,3
7.06,5,7.06,2
7.07,1,7.07,3
7.08,5,7.08,1
7.09,2,7.09,2
7.1,1,7.1,5
7.11,2,7.11,1
7.12,3,7.12,2
7.13,3,7.13,1
7.14,2,7.14,2
7.15,1,7.15,5
7.16,3,7.16,0
7.17,2,7.17,1
7.18,2,7.18,3
7.19,3,7.19,1
7.2,1,7.2,1
7.21,1,7.21,0
7.22,0,7.22,3
7.23,1,7.23,2
7.24,0,7.24,1
7.25,1,7.25,2
7.26,1,7.26,1
7.27,1,7.27,0
7.28,3,7.28,4
7.29,2,7.29,2
7.3,0,7.3,0
7.31,0,7.31,1
7.32,0,7.32,3
7.33,3,7.33,0
7.34,1,7.34,3
7.35,2,7.35,2
7.36,1,7.36,1
7.37,1,7.37,0
7.38,0,7.38,4
7.39,1,7.39,0
7.4,1,7.4,2
7.41,3,7.41,2
7.42,1,7.42,1
